"id_product";"product";"Id_lang"
241;"100 ml OCP Brother HJ 100 (BC 01) (Black)";1
242;"100 ml OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Black)";1
243;"100 ml OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Cyan)";1
244;"100 ml OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Magenta)";1
245;"100 ml OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Yellow)";1
246;"100 ml OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900C) (Cyan)";1
247;"100 ml OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900B) (Black)";1
248;"100 ml OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900M) (Magenta)";1
249;"100 ml OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900Y) (Yellow)";1
250;"100 ml OCP Brother MFC-730-740-750 (LC-600) (Black)";1
251;"100 ml OCP Brother MFC-730-740-750 (LC-600) (Cyan)";1
252;"100 ml OCP Brother MFC-730-740-750 (LC-600) (Magenta)";1
253;"100 ml OCP Brother MFC-730-740-750 (LC-600) (Yellow)";1
254;"100 ml OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Black)";1
255;"100 ml OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Cyan)";1
256;"100 ml OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Magenta)";1
257;"100 ml OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Yellow)";1
258;"100 ml OCP Canon BJ i-550/550x/560/6500/850, S-400 (BCI-3e Bk) (Black)";1
259;"100 ml OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e C) (Cyan)";1
260;"100 ml OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e M) (Magenta)";1
261;"100 ml OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e Y) (Yellow)";1
262;"100 ml OCP Canon BJ i-990/9950, Pixma iP8500 (BCI-6 G) (Green)";1
263;"100 ml OCP Canon BJ i-990/9950, Pixma iP8500 (BCI-6 R) (Red)";1
264;"100 ml OCP Canon BJ S100, BJC-2000 (BCI-21, BC-20, BX-20) (Black)";1
265;"100 ml OCP Canon BJ S100, BJC-2000, 2100 (BCI-21) (Cyan)";1
266;"100 ml OCP Canon BJ S100, BJC-2000, 2100 (BCI-21) (Magenta)";1
267;"100 ml OCP Canon BJ S100, BJC-2000, 2100 (BCI-21) (Yellow)";1
